id_code	id_label	ethnic_code	sex	n_vol	first_vol	first_asr	last_vol	last_asr	min_asr	min_vol	max_asr	max_vol	pct_change	shape	abs_pct
439200299	Japan, Miyagi Prefecture	99	2	12	1	0.08	12	2.58	0.08	1	2.58	12	3125	erratic	3125
470200020	Singapore: Chinese	20	2	10	1	0.09	12	1.89	0.09	1	1.89	12	2000	erratic	2000
476400599	Thailand, Lampang	99	2	5	8	0.1	12	1.16	0.1	8	1.16	12	1060	erratic	1060
435600499	India, Chennai	99	2	8	5	0.13	12	1.18	0.13	5	1.18	12	807.692307692308	rising	807.692307692308
415600799	China, Jiashan County	99	2	5	8	0.16	12	1.34	0	9	1.34	12	737.5	U	737.5
415600399	China, Shanghai City	99	2	9	4	0.13	12	1.02	0.13	4	1.02	12	684.615384615385	erratic	684.615384615385
435600299	India, Bangalore	99	2	7	5	0.23	12	1.6	0.23	5	1.6	12	595.652173913044	rising	595.652173913044
207600899	Brazil, Sao Paulo	99	2	5	3	0.46	10	2.67	0.46	3	2.91	9	480.434782608696	inverted-U	480.434782608696
470200027	Singapore: Malay	27	2	9	3	0.68	12	3.91	0.33	4	3.91	12	475	U	475
572400799	Spain, Zaragoza	99	2	7	3	0.43	9	2.26	0.43	3	2.26	9	425.581395348837	erratic	425.581395348837
312400899	Canada, Newfoundland and Labrador	99	2	12	1	0.72	12	3.7	0.72	1	3.7	12	413.888888888889	erratic	413.888888888889
570300099	Slovakia	99	2	8	4	0.72	11	3.46	0.72	4	3.46	11	380.555555555556	rising	380.555555555556
101200199	Algeria, Sétif	99	2	5	6	0.15	11	0.72	0.15	6	0.72	11	380	rising	380
570500099	Slovenia	99	2	12	1	0.68	12	3.24	0.68	1	3.24	12	376.470588235294	erratic	376.470588235294
470200040	Singapore: Indian	40	2	9	3	0.46	12	2.18	0	5	2.18	12	373.913043478261	U	373.913043478261
263000099	USA, Puerto Rico	99	2	11	1	0.88	12	4.14	0.88	1	4.14	12	370.454545454545	erratic	370.454545454545
441000899	Republic of Korea, Ulsan	99	2	4	9	0.67	12	3.11	0.67	9	3.11	12	364.179104477612	rising	364.179104477612
217000199	Colombia, Cali	99	2	12	1	0.64	12	2.96	0.64	1	2.96	12	362.5	erratic	362.5
441001099	Republic of Korea, Gwangju	99	2	4	9	0.61	12	2.82	0.61	9	2.82	12	362.295081967213	rising	362.295081967213
525000799	France, Tarn	99	2	7	6	0.84	12	3.78	0.84	6	3.78	12	350	rising	350
535200099	Iceland	99	2	10	1	1.22	12	5.47	1.22	1	5.47	12	348.360655737705	erratic	348.360655737705
561600199	Poland, Cracow	99	2	9	2	0.38	10	1.66	0.38	2	1.83	7	336.842105263158	inverted-U	336.842105263158
441000399	Republic of Korea, Seoul	99	2	5	8	0.73	12	3.15	0.73	8	3.15	12	331.506849315069	rising	331.506849315069
476400199	Thailand, Chiang Mai	99	2	7	6	0.34	12	1.46	0.32	7	1.46	12	329.411764705882	U	329.411764705882
439200499	Japan, Osaka Prefecture	99	2	10	3	0.52	12	2.21	0.52	3	2.21	12	325	erratic	325
525000399	France, Doubs	99	2	9	4	0.79	12	3.35	0.79	4	4.06	11	324.050632911392	inverted-U	324.050632911392
655400029	New Zealand: Pacific peoples	29	2	4	5	2.1	12	8.34	2.1	5	8.9	11	297.142857142857	inverted-U	297.142857142857
207600299	Brazil, Goiânia	99	2	7	6	0.65	12	2.57	0.65	6	3.25	10	295.384615384615	inverted-U	295.384615384615
575600199	Switzerland, Basel	99	2	6	5	1.21	12	4.72	1.21	5	4.72	12	290.082644628099	erratic	290.082644628099
441000299	Republic of Korea, Busan	99	2	5	8	0.72	12	2.78	0.65	9	2.78	12	286.111111111111	U	286.111111111111
547000099	Malta	99	2	7	3	0.69	12	2.63	0.69	3	2.7	8	281.159420289855	inverted-U	281.159420289855
441001199	Republic of Korea, Incheon	99	2	4	9	0.72	12	2.6	0.72	9	2.6	12	261.111111111111	rising	261.111111111111
441000499	Republic of Korea, Daegu	99	2	5	8	0.76	12	2.7	0.76	8	2.7	12	255.263157894737	rising	255.263157894737
312400599	Canada, New Brunswick	99	2	10	1	1.03	12	3.62	1.03	1	3.62	12	251.456310679612	erratic	251.456310679612
476400499	Thailand, Songkhla	99	2	5	8	0.41	12	1.44	0.41	8	1.44	12	251.219512195122	rising	251.219512195122
441000099	Republic of Korea	99	2	4	9	0.82	12	2.82	0.82	9	2.82	12	243.90243902439	rising	243.90243902439
476400299	Thailand, Khon Kaen	99	2	6	6	0.31	12	1.02	0.11	7	1.03	11	229.032258064516	U	229.032258064516
538000599	Italy, Parma	99	2	7	5	1.56	11	5.04	1.56	5	5.04	11	223.076923076923	erratic	223.076923076923
572400199	Spain, Tarragona	99	2	8	5	0.94	12	3.01	0.94	5	3.17	11	220.212765957447	inverted-U	220.212765957447
312401299	Canada, Saskatchewan	99	2	12	1	1.38	12	4.17	1.38	1	4.22	11	202.173913043478	inverted-U	202.173913043478
