id_code	id_label	ethnic_code	sex	CI5_volume	asr	median_asr	ratio	flag
217000199	Colombia, Cali	99	1	1	0.33	1.73	0.190751445086705	low
156600199	Nigeria,  Ibadan	99	1	1	0.16	1.73	0.092485549132948	low
470200020	Singapore: Chinese	20	1	1	0.15	1.73	0.0867052023121387	low
655400028	New Zealand: Maori	28	1	2	8.82	2.24	3.9375	high
561600199	Poland, Cracow	99	1	2	0.43	2.24	0.191964285714286	low
439200299	Japan, Miyagi Prefecture	99	1	2	0.34	2.24	0.151785714285714	low
439202299	Japan,  Okayama Prefecture	99	1	2	0.28	2.24	0.125	low
534800399	Hungary, County Vas	99	1	2	0.12	2.24	0.0535714285714286	low
384000230	USA, California, San Francisco Bay Area: Black	30	1	3	11.64	2.34	4.97435897435898	high
384010030	Usa, California, Alameda County: Black	30	1	3	8.28	2.34	3.53846153846154	high
384000830	USA, Michigan, Detroit: Black	30	1	3	7.43	2.34	3.17521367521368	high
384010583	USA,  Texas:  El Paso County Non-Hispanic	83	1	3	0.44	2.34	0.188034188034188	low
534800299	Hungary, County Szabolcs-Szatmar	99	1	3	0.35	2.34	0.14957264957265	low
561600699	Poland, Warsaw Rural	99	1	3	0.27	2.34	0.115384615384615	low
534800399	Hungary, County Vas	99	1	3	0.24	2.34	0.102564102564103	low
564200499	Romania,  County Timis	99	1	3	0.13	2.34	0.0555555555555556	low
384000230	USA, California, San Francisco Bay Area: Black	30	1	4	11.64	3.36	3.46428571428571	high
655400028	New Zealand: Maori	28	1	4	11.38	3.36	3.38690476190476	high
684009945	USA, Hawaii: Hawaiian	45	1	4	11.22	3.36	3.33928571428571	high
384010030	Usa, California, Alameda County: Black	30	1	4	10.65	3.36	3.16964285714286	high
534800299	Hungary, County Szabolcs-Szatmar	99	1	4	0.61	3.36	0.181547619047619	low
564200199	Romania, County Cluj	99	1	4	0.51	3.36	0.151785714285714	low
470200027	Singapore: Malay	27	1	4	0.44	3.36	0.130952380952381	low
168600199	Senegal, Dakar	99	1	4	0.22	3.36	0.0654761904761905	low
384010030	Usa, California, Alameda County: Black	30	1	5	8.84	2.69	3.28624535315985	high
435600499	India, Chennai	99	1	5	0.48	2.69	0.178438661710037	low
460800399	Philippines, Rizal	99	1	5	0.44	2.69	0.163568773234201	low
415600499	China, Tianjin	99	1	5	0.34	2.69	0.12639405204461	low
435600599	India, Nagpur	99	1	5	0.05	2.69	0.0185873605947955	low
384000830	USA, Michigan, Detroit: Black	30	1	6	9.53	2.82	3.37943262411348	high
534800299	Hungary, County Szabolcs-Szatmar	99	1	6	0.56	2.82	0.198581560283688	low
441700099	Kyrgyzstan	99	1	6	0.35	2.82	0.124113475177305	low
476400299	Thailand, Khon Kaen	99	1	6	0.31	2.82	0.109929078014184	low
101200199	Algeria, Sétif	99	1	6	0.09	2.82	0.0319148936170213	low
435600899	India, Trivandrum	99	1	7	10.8	2.995	3.60601001669449	high
384000230	USA, California, San Francisco Bay Area: Black	30	1	7	9.49	2.995	3.1686143572621	high
384000330	USA, California, Los Angeles County: Black	30	1	7	9.47	2.995	3.16193656093489	high
435600999	India, Karunagappally	99	1	7	0.57	2.995	0.190317195325543	low
384000321	USA, California, Los Angeles County: Japanese	21	1	7	0.53	2.995	0.176961602671119	low
