country_code	CI5_volume	sex	max_asr	min_asr	ratio	hi_eth	lo_eth	n_sub
840	3	1	11.64	0.44	26.4545454545455	30	83	9
840	7	1	9.49	0.53	17.9056603773585	30	21	10
840	7	2	6.44	0.37	17.4054054054054	30	20	10
840	3	2	8.83	0.51	17.3137254901961	30	83	9
840	5	2	7.39	0.47	15.7234042553192	30	21	10
840	10	1	11.57	0.91	12.7142857142857	30	29	12
840	10	2	8.94	0.78	11.4615384615385	30	29	12
840	12	2	12.19	1.16	10.5086206896552	30	20	12
840	9	2	7.5	0.77	9.74025974025974	30	20	11
840	9	1	9.4	1	9.4	30	22	11
840	11	1	14.09	1.56	9.03205128205128	30	20	12
840	8	2	7.13	0.84	8.48809523809524	30	20	10
840	11	2	12.07	1.48	8.15540540540541	30	20	12
376	4	1	6.05	0.75	8.06666666666667	91	94	5
840	1	2	5.99	0.81	7.39506172839506	45	21	3
840	12	1	12.88	1.82	7.07692307692308	30	29	12
840	8	1	9.83	1.39	7.07194244604317	30	21	10
840	6	2	6.58	1.15	5.72173913043478	30	20	9
840	1	1	3.86	0.77	5.01298701298701	45	21	3
376	3	2	3.5	0.7	5	91	94	5
376	6	2	3.1	0.66	4.6969696969697	91	94	5
840	2	1	4.57	1	4.57	30	20	8
702	4	1	1.59	0.44	3.61363636363636	40	27	3
414	7	1	3.94	1.24	3.17741935483871	26	25	2
414	6	2	2.57	0.85	3.02352941176471	26	25	2
554	2	2	6.44	2.18	2.95412844036697	28	36	2
702	5	1	2.63	0.9	2.92222222222222	40	20	3
376	7	1	5.93	2.05	2.89268292682927	91	94	4
702	3	1	2.06	0.72	2.86111111111111	40	20	3
702	4	2	0.92	0.33	2.78787878787879	20	27	3
376	3	1	2.93	1.08	2.71296296296296	97	94	5
554	2	1	8.82	3.35	2.63283582089552	28	36	2
554	5	1	7.58	3.06	2.47712418300654	29	36	3
702	7	2	1.93	0.79	2.44303797468354	27	20	3
702	10	1	3.27	1.36	2.40441176470588	27	20	3
554	4	1	11.38	4.75	2.39578947368421	28	36	2
414	6	1	3.16	1.33	2.37593984962406	26	25	2
702	6	1	3.41	1.46	2.33561643835616	40	20	3
702	10	2	2.27	0.98	2.31632653061225	27	20	3
702	7	1	2.79	1.22	2.28688524590164	27	20	3
376	7	2	3.61	1.61	2.24223602484472	91	94	4
702	8	1	2.37	1.08	2.19444444444444	27	20	3
554	7	2	5.84	2.67	2.187265917603	28	36	2
554	5	2	4.32	2.05	2.10731707317073	28	36	3
702	12	2	3.91	1.89	2.06878306878307	27	20	3
702	8	2	1.92	0.93	2.06451612903226	40	20	3
376	6	1	4.61	2.26	2.03982300884956	91	96	5
554	10	1	8.68	4.28	2.02803738317757	29	28	2
414	12	1	3.83	1.89	2.02645502645503	25	26	2
702	9	1	2.57	1.27	2.02362204724409	27	20	3
