CI5_volume	id_code	id_label	asr_m	asr_f	mf_ratio	vol_med	flag
1	439200299	Japan, Miyagi Prefecture	0.35	0.08	4.375	1.40098039215686	male_heavy
1	217000199	Colombia, Cali	0.33	0.64	0.515625	1.40098039215686	female_heavy
2	156600199	Nigeria,  Ibadan	0.49	0.05	9.8	1.33846153846154	male_heavy
2	561600699	Poland, Warsaw Rural	1.21	0.43	2.81395348837209	1.33846153846154	male_heavy
2	534800399	Hungary, County Vas	0.12	0.59	0.203389830508475	1.33846153846154	female_heavy
3	207601599	Brazil, Recife	2.34	0.54	4.33333333333333	1.32795698924731	male_heavy
3	547000099	Malta	1.85	0.69	2.68115942028986	1.32795698924731	male_heavy
3	564200499	Romania,  County Timis	0.13	0.25	0.52	1.32795698924731	female_heavy
3	534800299	Hungary, County Szabolcs-Szatmar	0.35	0.79	0.443037974683544	1.32795698924731	female_heavy
3	534800399	Hungary, County Vas	0.24	0.76	0.315789473684211	1.32795698924731	female_heavy
4	415600399	China, Shanghai City	0.74	0.13	5.69230769230769	1.43396226415094	male_heavy
4	252809999	Netherlands, Antilles	7.62	2.29	3.32751091703057	1.43396226415094	male_heavy
4	525000399	France, Doubs	2.35	0.79	2.9746835443038	1.43396226415094	male_heavy
4	439200399	Japan, Nagasaki Prefecture	1.92	3.08	0.623376623376623	1.43396226415094	female_heavy
4	561600699	Poland, Warsaw Rural	0.97	1.6	0.60625	1.43396226415094	female_heavy
5	534800299	Hungary, County Szabolcs-Szatmar	1.01	0.19	5.31578947368421	1.4220499328258	male_heavy
5	435600499	India, Chennai	0.48	0.13	3.69230769230769	1.4220499328258	male_heavy
5	435600299	India, Bangalore	0.77	0.23	3.34782608695652	1.4220499328258	male_heavy
5	435600599	India, Nagpur	0.05	0.28	0.178571428571429	1.4220499328258	female_heavy
6	260400199	Peru, Trujillo	1.82	0.13	14	1.42709780494582	male_heavy
6	415600499	China, Tianjin	0.69	0.24	2.875	1.42709780494582	male_heavy
6	534800299	Hungary, County Szabolcs-Szatmar	0.56	0.79	0.708860759493671	1.42709780494582	female_heavy
6	101200199	Algeria, Sétif	0.09	0.15	0.6	1.42709780494582	female_heavy
6	534800399	Hungary, County Vas	0.93	1.57	0.592356687898089	1.42709780494582	female_heavy
6	538000399	Italy, Latina	0.68	1.53	0.444444444444444	1.42709780494582	female_heavy
7	441000199	Korea, Kangwha County	0.61	1.16	0.525862068965517	1.41885152890588	female_heavy
7	435600999	India, Karunagappally	0.57	1.35	0.422222222222222	1.41885152890588	female_heavy
8	476400599	Thailand, Lampang	0.46	0.1	4.6	1.45112781954887	male_heavy
8	415600799	China, Jiashan County	0.53	0.16	3.3125	1.45112781954887	male_heavy
8	441000199	Korea, Kangwha County	0.49	0.68	0.720588235294118	1.45112781954887	female_heavy
8	470400299	Viet Nam, Ho Chi Minh City	0.19	0.28	0.678571428571429	1.45112781954887	female_heavy
8	312400999	Canada, Yukon	2.8	4.52	0.619469026548673	1.45112781954887	female_heavy
8	180000299	Uganda, Kyadondo County	0.09	1.1	0.0818181818181818	1.45112781954887	female_heavy
9	603600899	Australia, Northern Territory	3.83	0.48	7.97916666666667	1.47931229926318	male_heavy
9	445800299	Malaysia, Penang	0.77	1.15	0.669565217391304	1.47931229926318	female_heavy
9	460800299	Philippines, Manila	0.66	1.07	0.616822429906542	1.47931229926318	female_heavy
10	312400999	Canada, Yukon	5.63	0.76	7.40789473684211	1.44165563401	male_heavy
10	171000199	South Africa, Eastern Cape	0.66	0.16	4.125	1.44165563401	male_heavy
