id_code	id_label	ethnic_code	sex	n_vol	first_vol	first_asr	last_vol	last_asr	min_asr	min_vol	max_asr	max_vol	pct_change	shape	abs_pct
470200020	Singapore: Chinese	20	2	10	1	0.62	12	4.46	0.62	1	5.31	10	619.354838709678	inverted-U	619.354838709678
312400499	Canada, Northwest Territories	99	2	7	5	0.51	11	3.38	0.51	5	7.35	10	562.745098039216	inverted-U	562.745098039216
217000199	Colombia, Cali	99	2	12	1	1.98	12	7.63	1.98	1	7.63	12	285.353535353535	erratic	285.353535353535
435600499	India, Chennai	99	2	8	5	1.21	12	4.14	1.21	5	4.14	12	242.148760330579	erratic	242.148760330579
384010030	Usa, California, Alameda County: Black	30	2	5	2	2.96	6	8.47	2.96	2	8.47	6	186.148648648649	erratic	186.148648648649
525000799	France, Tarn	99	2	7	6	2.57	12	6.93	2.57	6	6.93	12	169.649805447471	erratic	169.649805447471
312400699	Canada, Nova Scotia	99	2	7	5	2.86	11	7.25	2.86	5	7.25	11	153.496503496504	erratic	153.496503496504
525001799	France, Vendée	99	2	4	9	3.6	12	8.8	3.6	9	8.8	12	144.444444444444	rising	144.444444444444
684009923	USA, Hawaii: Filipino	23	2	11	2	2.29	12	5.48	2.29	2	11.85	4	139.301310043668	inverted-U	139.301310043668
384000322	USA, California, Los Angeles County: Korean	22	2	8	5	1.7	12	3.97	1.7	5	4.48	8	133.529411764706	inverted-U	133.529411764706
435600799	India, Barshi, Paranda, and Bhum	99	2	4	7	0.89	12	1.98	0.89	7	1.98	12	122.47191011236	rising	122.47191011236
684009920	USA, Hawaii: Chinese	20	2	11	2	3.12	12	6.92	1.65	7	12.35	6	121.794871794872	U	121.794871794872
470200027	Singapore: Malay	27	2	9	3	2.69	12	5.62	2.69	3	5.62	12	108.921933085502	erratic	108.921933085502
435600299	India, Bangalore	99	2	7	5	2.11	12	4.39	2.11	5	4.39	12	108.056872037915	erratic	108.056872037915
441000299	Republic of Korea, Busan	99	2	5	8	2.34	12	4.74	2.34	8	4.74	12	102.564102564103	rising	102.564102564103
564300199	Russian Federation, Saint Petersburg	99	2	4	6	3.33	10	6.68	3.33	6	6.68	10	100.600600600601	rising	100.600600600601
415600999	China, Wuhan City	99	2	4	8	2.63	12	5.27	2.63	8	5.27	12	100.380228136882	erratic	100.380228136882
572400699	Spain, Basque Country	99	2	6	6	3.91	12	7.79	3.91	6	7.79	12	99.23273657289	rising	99.23273657289
384000323	USA, California, Los Angeles County: Filipino	23	2	8	5	3.02	12	5.94	3.02	5	6.87	7	96.6887417218543	inverted-U	96.6887417218543
312400199	Canada, Alberta	99	2	12	1	4.28	12	8.32	4.28	1	8.33	11	94.392523364486	inverted-U	94.392523364486
575601099	Switzerland, Ticino	99	2	5	8	4.41	12	8.35	4.41	8	8.35	12	89.3424036281179	erratic	89.3424036281179
525000899	France, Hérault	99	2	6	7	3.86	12	7.27	3.86	7	7.34	11	88.3419689119171	inverted-U	88.3419689119171
435600999	India, Karunagappally	99	2	4	7	1.85	10	3.44	1.78	8	3.44	10	85.945945945946	U	85.945945945946
439200299	Japan, Miyagi Prefecture	99	2	12	1	2.96	12	5.33	2.82	2	5.33	12	80.0675675675676	U	80.0675675675676
603600399	Australia, Queensland	99	2	6	5	5.24	12	9.43	5.24	5	9.43	12	79.9618320610687	erratic	79.9618320610687
384000221	USA, California, San Francisco Bay Area: Japanese	21	2	5	4	2.94	11	5.14	1.89	7	5.14	11	74.8299319727891	U	74.8299319727891
384000999	USA, New Mexico	99	2	7	6	5.2	12	8.81	3.39	8	8.81	12	69.4230769230769	U	69.4230769230769
441400025	Kuwait: Kuwaitis	25	2	8	5	3.13	12	5.3	3.13	5	5.55	11	69.3290734824281	inverted-U	69.3290734824281
570500099	Slovenia	99	2	12	1	3.73	12	6.31	3.73	1	6.31	12	69.1689008042895	erratic	69.1689008042895
263000099	USA, Puerto Rico	99	2	11	1	4.13	12	6.94	4.13	1	6.94	12	68.0387409200969	erratic	68.0387409200969
479200199	Turkey, Izmir	99	2	4	9	4.05	12	6.8	4.05	9	6.8	12	67.9012345679012	rising	67.9012345679012
435601099	India, New Delhi	99	2	4	8	3.08	12	5.12	3.08	8	5.12	12	66.2337662337662	erratic	66.2337662337662
312401299	Canada, Saskatchewan	99	2	12	1	5.33	12	8.86	5.33	1	9.04	11	66.2288930581614	inverted-U	66.2288930581614
439201099	Japan, Aichi Prefecture	99	2	4	9	2.87	12	4.77	2.87	9	4.77	12	66.2020905923345	rising	66.2020905923345
384005630	USA, Georgia: Black	30	2	4	9	4.71	12	7.81	4.71	9	7.81	12	65.8174097664544	rising	65.8174097664544
312401199	Canada, Quebec	99	2	9	2	4.75	12	7.85	4.75	2	7.85	12	65.2631578947368	erratic	65.2631578947368
384000220	USA, California, San Francisco Bay Area: Chinese	20	2	6	3	8.77	11	3.21	2.91	5	8.77	3	-63.3979475484607	U	63.3979475484607
415600299	China, Qidong City	99	2	6	6	3.26	12	5.31	3.26	6	5.31	12	62.8834355828221	rising	62.8834355828221
525000699	France, Somme	99	2	7	6	4.74	12	7.72	4.74	6	7.72	12	62.8691983122363	erratic	62.8691983122363
582602099	UK, Scotland	99	2	10	2	3.78	12	6.15	3.78	2	6.15	12	62.6984126984127	erratic	62.6984126984127
