country_code	CI5_volume	sex	max_asr	min_asr	ratio	hi_eth	lo_eth	n_sub
376	5	2	13.99	1.73	8.08670520231214	96	94	5
840	10	1	15.43	2.81	5.49110320284698	42	29	12
840	7	2	8.38	1.65	5.07878787878788	23	30	10
840	10	2	10.44	2.09	4.99521531100479	42	29	12
840	5	2	7.4	1.7	4.35294117647059	10	22	10
840	6	2	12.35	2.97	4.15824915824916	20	22	9
840	12	1	17.44	4.2	4.15238095238095	10	22	12
840	11	1	14.19	3.43	4.13702623906705	10	42	12
840	4	1	17.72	4.37	4.05491990846682	45	20	9
840	4	2	11.85	2.94	4.03061224489796	23	21	9
840	2	2	8.73	2.29	3.81222707423581	85	23	8
840	1	1	22.99	6.04	3.80629139072848	45	21	3
840	11	2	9.26	2.7	3.42962962962963	10	22	12
840	9	2	8.77	2.6	3.37307692307692	10	21	11
376	3	2	8.06	2.52	3.1984126984127	90	94	5
840	12	2	11.68	3.66	3.19125683060109	10	20	12
840	3	2	9.96	3.15	3.16190476190476	83	21	9
840	2	1	23	7.44	3.09139784946237	45	21	8
840	8	1	11.82	3.89	3.03856041131105	60	22	10
840	9	1	13.9	4.66	2.98283261802575	60	22	11
840	5	1	11.62	3.92	2.96428571428571	10	42	10
840	3	1	14.09	4.87	2.89322381930185	83	45	9
840	7	1	12.97	4.58	2.83187772925764	10	22	10
376	7	1	16.23	6.19	2.62197092084006	91	94	4
376	7	2	11.13	4.45	2.50112359550562	91	94	4
840	6	1	12.23	5.17	2.36557059961315	10	20	9
840	8	2	7.88	3.34	2.35928143712575	60	42	10
414	5	1	9.86	4.29	2.2983682983683	26	25	2
702	7	1	6.45	3.05	2.11475409836066	27	40	3
376	5	1	10.51	5.1	2.06078431372549	91	94	5
702	8	2	5.21	2.55	2.04313725490196	27	40	3
